permno,bankruptcy_dt
10489,3/28/1988
92180,4/11/1988
91986,4/12/1988
93033,4/14/1988
10826,4/25/1988
60329,4/25/1988
54682,4/26/1988
75541,4/29/1988
59206,5/2/1988
11696,5/3/1988
69155,5/4/1988
60135,5/5/1988
46826,5/10/1988
10601,5/26/1988
76524,5/27/1988
62288,6/1/1988
10678,6/12/1988
48717,6/14/1988
68005,6/14/1988
24273,6/16/1988
85906,6/23/1988
86175,6/24/1988
27370,6/27/1988
71539,7/1/1988
46615,7/11/1988
58894,7/18/1988
71205,7/19/1988
29663,7/20/1988
11756,7/22/1988
11158,7/26/1988
10708,7/27/1988
41662,7/28/1988
66261,7/29/1988
59109,7/30/1988
75061,7/30/1988
89173,8/9/1988
10311,8/10/1988
46501,8/12/1988
69315,8/16/1988
32783,8/26/1988
67221,8/31/1988
29962,9/9/1988
64040,9/16/1988
91206,9/22/1988
11435,9/28/1988
65622,9/29/1988
12619,10/3/1988
29605,11/2/1988
29525,11/14/1988
54148,11/18/1988
92081,11/18/1988
44760,11/22/1988
10468,11/22/1988
77615,11/30/1988
91708,12/6/1988
34809,12/14/1988
59168,12/19/1988
67352,12/21/1988
66843,12/31/1988
67846,12/31/1988
31182,1/1/1989
49940,1/1/1989
92612,1/1/1989
14349,1/1/1989
30163,1/1/1989
52273,1/1/1989
28506,1/1/1989
10169,1/1/1989
11112,1/1/1989
93041,1/1/1989
87709,1/1/1989
11337,1/1/1989
69665,1/9/1989
67192,1/13/1989
55248,1/17/1989
11829,1/20/1989
29314,1/31/1989
62165,2/1/1989
64493,2/1/1989
11351,2/6/1989
44767,2/9/1989
67280,2/24/1989
70819,2/28/1989
51685,3/1/1989
11804,3/2/1989
69383,3/3/1989
30816,3/7/1989
20976,3/9/1989
34826,3/10/1989
18286,3/10/1989
73374,3/13/1989
51992,3/15/1989
63968,3/15/1989
11125,3/16/1989
35351,3/16/1989
88816,3/16/1989
67643,3/16/1989
69316,3/20/1989
51450,3/20/1989
10264,3/21/1989
59950,3/31/1989
11049,4/4/1989
35597,4/6/1989
10249,4/6/1989
17604,4/10/1989
10535,4/12/1989
12715,4/13/1989
87266,4/14/1989
11693,4/24/1989
91396,4/26/1989
11557,5/8/1989
59460,5/22/1989
12083,5/30/1989
72785,6/2/1989
87063,6/6/1989
89675,6/12/1989
49947,6/21/1989
64741,6/23/1989
11605,6/26/1989
54738,6/30/1989
69083,6/30/1989
77631,7/3/1989
16003,7/21/1989
66106,8/1/1989
64370,8/3/1989
91281,8/3/1989
67766,8/8/1989
11613,8/8/1989
50236,8/14/1989
92276,8/18/1989
27028,8/23/1989
50593,8/25/1989
24409,9/5/1989
18025,9/14/1989
75303,9/15/1989
10511,9/21/1989
26308,9/21/1989
61014,9/21/1989
64522,9/21/1989
54551,9/24/1989
12127,9/25/1989
92946,9/27/1989
19095,9/28/1989
88082,9/28/1989
41209,10/5/1989
67126,10/19/1989
91169,10/26/1989
86183,10/27/1989
64048,10/31/1989
10934,10/31/1989
29277,11/7/1989
39212,11/12/1989
39204,11/12/1989
11889,11/15/1989
